BOROCD,_TYPE_,_FREQ_,MGPTONSCOLLECTED,PAPERTONSCOLLECTED,REFUSETONSCOLLECTED
,0,708,251456.25,292837.75,2498962.26
101,1,12,2627.66,4318.04,15669.81
102,1,12,3598.56,5271.24,23980.9
103,1,12,3476.89,4079.67,35385.59
104,1,12,4323.36,5422.84,27040.49
105,1,12,1892.92,3195.07,15325.03
106,1,12,4712.15,6421.99,33968.97
107,1,12,8421.95,13563.03,60046.6
108,1,12,8802.17,14014.85,63018.3
109,1,12,2817.38,3229.09,28372.34
110,1,12,2566.17,2973.96,33081.62
111,1,12,2146.03,2509.46,26404.52
112,1,12,5792.73,5620.7,57629.07
201,1,12,1348.27,1236.11,22259.4
202,1,12,1427.83,1060.56,17685.17
203,1,12,1581.48,1338.59,21425.72
204,1,12,2973.05,2505.99,47931.14
205,1,12,3261.62,2322.18,40498.76
206,1,12,1768.17,1387.83,25020.39
207,1,12,4021.58,3029.5,42457.96
208,1,12,3723.3,4002.09,27585.15
209,1,12,3227.58,2352.17,44914.17
210,1,12,3849.58,3936.18,29195.73
211,1,12,3349.71,3477.88,35976.21
212,1,12,5461.79,4335.6,44627.69
301,1,12,4929.71,6159.73,59697.77
302,1,12,3848.34,5440.92,28740.78
303,1,12,3238.16,3473.96,46854.07
304,1,12,3225.72,2451.48,35743.16
305,1,12,3799.45,2936.83,52547.76
306,1,12,4741.13,6826.89,25675.15
307,1,12,4417.1,5096.85,39215.01
308,1,12,2756,2994.09,31659.2
309,1,12,2246.6,2807.42,35952.2
310,1,12,4632.87,6471.94,38551.73
311,1,12,5458.83,7644.18,58379.45
312,1,12,4509.78,8284.25,72589.5
313,1,12,1994.44,2070.67,25024.32
314,1,12,3802.44,5471.32,57358.96
315,1,12,5024.39,7123.33,52780.53
316,1,12,1429.69,1187.55,23216.4
317,1,12,4421.32,3761.65,51415.34
318,1,12,6016.5,6992.47,63899.42
401,1,12,6366.44,6802.3,47902.82
402,1,12,3830.67,4810.22,34189.83
403,1,12,4785.74,4482.99,57022.24
404,1,12,3800.01,4091.74,49904.64
405,1,12,7591.6,7818.98,56189.12
406,1,12,3693.7,5174.94,32993.99
407,1,12,7201.7,9895.1,77315.95
408,1,12,4130.54,5742.78,43413.63
409,1,12,5267,5228.9,47565.3
410,1,12,4727.93,4720.8,43713.03
411,1,12,4568.54,6085.97,35899.68
412,1,12,7956.18,5825.19,78279.31
413,1,12,7644.59,6349.01,62503.82
414,1,12,2361.17,2806.03,37315.14
501,1,12,6792.31,7541.91,59708.3
502,1,12,5568.84,7001.24,49367.19
503,1,12,7504.89,9659.5,66876.79
